Song,Year,Artist,Winner,trackID
"""(Everything I Do) I Do It for You""",1992,Bryan Adams,0,6eBK3edMW7bEzecF1eCezc
"""(Just Like) Starting Over""",1982,John Lennon,0,7tqQI7nmRAqX0g8bIYDXmF
"""(They Long to Be) Close to You""",1971,The Carpenters,0,50q2aUjWoTn6CJIfSPRJQA
"""(Up a) Lazy River""",1962,Si Zentner,0,1qysQ9JXd8gUbs4oLO5oSd
"""1979""",1997,The Smashing Pumpkins,0,3h5zik31hTTat9jmpCZZNC
"""24K Magic""",2018,Bruno Mars,1,6b8Be6ljOzmkOmFslEb23P
"""50 Ways to Leave Your Lover""",1977,Paul Simon,0,6Qb7gtV6Q4MnUjSbkFcopl
"""7 Rings""",2020,Ariana Grande,0,6ocbgoVGwYJhOv1GgI9NsF
"""7 Years""",2017,Lukas Graham,0,5kqIPrATaCc2LqxVWzQGbk
"""A Boy Named Sue""",1970,Johnny Cash,0,5xMNjx7uqCzMpJZSo4Wq55
"""A Fool Such as I""",1960,Elvis Presley,0,53Wf6uVFYa1Ef1pltkA54Q
"""A Taste of Honey""",1966,Herb Alpert & the Tijuana Brass,1,2XmLd81D7jT8Ell9lmvApe
"""A Thousand Miles""",2003,Vanessa Carlton,0,4w1lzcaoZ1IC2K5TwjalRP
"""A Whole New World""",1994,Peabo Bryson & Regina Belle,0,4tS8xQfyPGc7f4lJ1JP6BX
"""Achy Breaky Heart""",1993,Billy Ray Cyrus,0,2EoIt9vdgFRNW03u5IvFsQ
"""Addicted to Love""",1987,Robert Palmer,0,5izGeTxueiFX1UPFGohY9w
"""After the Love Has Gone""",1980,"Earth, Wind & Fire",0,3cfnGXJ9bmiWvFqEO6ff8B
"""Afternoon Delight""",1977,Starland Vocal Band,0,3uLk0uQ4zMS26h89Of8XOD
"""All About That Bass""",2015,Meghan Trainor,0,5jE48hhRu8E6zBDPRSkEq7
"""All I Wanna Do""",1995,Sheryl Crow,1,3ZpQiJ78LKINrW9SQTgbXd
"""All Night Long (All Night)""",1984,Lionel Richie,0,2Wb9ejnmy27DUTUe9YF5Ew
"""All the Stars""",2019,Kendrick Lamar & SZA,0,3GCdLUSnKSMJhs4Tj6CV3s
"""Almost Persuaded""",1967,David Houston,0,2Krnm3qWdy4VG5vTkT0cDn
"""Alone Again (Naturally)""",1973,Gilbert O'Sullivan,0,6vuEG9sZtC4W2zT64f7zLF
"""Always on My Mind""",1983,Willie Nelson,0,2xYQTU2bbg6WVAmpY1eae4
"""American Idiot""",2005,Green Day,0,6nTiIhLmQ3FWhvrGafw2zj
"""American Pie""",1973,Don McLean,0,1fDsrQ23eTAVFElUMaf38X
"""Another Day in Paradise""",1991,Phil Collins,1,2N0WekQjqobluIKK5mfvxO
"""Aquarius/Let the Sunshine In""",1970,The 5th Dimension,1,0HZlND4giwzgolBpaNIRGV
"""Are You Lonesome Tonight?""",1961,Elvis Presley,0,6vXZs9rEQF7Nd6O8Ue7NrT
"""Arthur's Theme (Best That You Can Do)""",1982,Christopher Cross,0,5fnOrhQ4KgT5irGCjIccGH
"""At Seventeen""",1976,Janis Ian,0,7wJpqjqk8QbHpCakY1ZacY
"""Baby Baby""",1992,Amy Grant,0,3IDsegNBHC4pjGCOMTQYlU
"""Back in the High Life Again""",1988,Steve Winwood,0,1Bj6YgjjPbEb4jhQ50T8tJ
"""Bad Guy""",2020,Billie Eilish,1,2Fxmhks0bxGSBdJ92vM42m
"""Bad, Bad Leroy Brown""",1974,Jim Croce,0,1O0xeZrBDbq7HPREdmYUYK
"""Baker Street""",1979,Gerry Rafferty,0,5gOd6zDC8vhlYjqbQdJVWP
"""Be Without You""",2007,Mary J. Blige,0,72pKaqEww3zHWt5P2MBnMJ
"""Beat It""",1984,Michael Jackson,1,1OOtq8tRnDM8kG2gqUPjAj
"""Beautiful Day""",2001,U2,1,1VuBmEauSZywQVtqbxNqka
"""Beauty and the Beast""",1993,Celine Dion & Peabo Bryson,0,7B3UAPLYAbwXVgbHSKEaTw
"""Because You Loved Me""",1997,Celine Dion,0,4WrUZTGFXeZNxpRDKU18Y1
"""Behind Closed Doors""",1974,Charlie Rich,0,6d7Jz2np6jtNaZv1DiWfJs
"""Believe""",2000,Cher,0,2goLsvvODILDzeeiT4dAoR
"""Bette Davis Eyes""",1982,Kim Carnes,1,0odIT9B9BvOCnXfS0e4lB5
"""Big Bad John""",1962,Jimmy Dean,0,61uAY9xdzYiIbYJ07XvKso
"""Blank Space""",2016,Taylor Swift,0,1p80LdxRV74UKvL8gnD7ky
"""Bleeding Love""",2009,Leona Lewis,0,7wZUrN8oemZfsEd1CGkbXE
"""Blue Bayou""",1978,Linda Ronstadt,0,3zxklD2EGecZre9MjEEvIU
"""Blurred Lines""",2014,Robin Thicke featuring T.I. & Pharrell Williams,0,0n4bITAu0Y0nigrz3MFJMb
"""Born in the U.S.A.""",1986,Bruce Springsteen,0,0dOg1ySSI7NkpAe89Zo0b9
"""Boulevard of Broken Dreams""",2006,Green Day,1,5GorCbAP4aL0EJ16frG2hd
"""Bridge over Troubled Water""",1971,Simon & Garfunkel,1,6l8EbYRtQMgKOyc1gcDHF9
"""By the Time I Get to Phoenix""",1968,Glen Campbell,0,1tZKsxgKebVQX9s6oiojG9
"""Bye Bye Bye""",2001,*NSYNC,0,62bOmKYxYg7dhrC6gH9vFn
"""Can't Feel My Face""",2016,The Weeknd,0,22VdIZQfgXJea34mQxlt81
"""Catch a Falling Star""",1959,Perry Como,0,38YMdelhj62vJ6d5a0wxMQ
"""Chandelier""",2015,Sia,0,2s1sdSqGcKxpPr5lCl7jAV
